EPIWEEK,Week start,Participants with new infection,Proportion_cases_sequenced,Location,Num cases sequenced,Num cases state
2020_23,5/31/20,0,0,PR,0,62
2020_24,6/7/20,0,0.027272727,PR,3,110
2020_25,6/14/20,0,0,PR,0,71
2020_26,6/21/20,0,0.028169014,PR,2,71
2020_27,6/28/20,0,0.013953488,PR,3,215
2020_28,7/5/20,0,0.006472492,PR,4,618
2020_29,7/12/20,0,0.00877193,PR,9,1026
2020_30,7/19/20,0,0.005060089,PR,8,1581
2020_31,7/26/20,0,0.003997335,PR,6,1501
2020_32,8/2/20,0,0.013300493,PR,27,2030
2020_33,8/9/20,0,0.006410256,PR,16,2496
2020_34,8/16/20,0,0.001355626,PR,3,2213
2020_35,8/23/20,0,0.003521127,PR,6,1704
2020_36,8/30/20,4,0.008750994,PR,11,1257
2020_37,9/6/20,0,0.00295203,PR,4,1355
2020_38,9/13/20,0,0.001358081,PR,3,2209
2020_39,9/20/20,0,0.001697073,PR,4,2357
2020_40,9/27/20,0,0.004166667,PR,11,2640
2020_41,10/4/20,0,0.003420753,PR,6,1754
2020_42,10/11/20,0,0.002881844,PR,5,1735
2020_43,10/18/20,5,0.005397625,PR,15,2779
2020_44,10/25/20,0,0.004892368,PR,15,3066
2020_45,11/1/20,0,0.003579952,PR,12,3352
2020_46,11/8/20,0,0.008173751,PR,35,4282
2020_47,11/15/20,1,0.002359502,PR,11,4662
2020_48,11/22/20,2,0.001165728,PR,6,5147
2020_49,11/29/20,5,0.004049608,PR,16,3951
2020_50,12/6/20,0,0.001776773,PR,11,6191
2020_51,12/13/20,0,0.001822157,PR,10,5488
2020_52,12/20/20,0,0.002293578,PR,12,5232
2020_53,12/27/20,1,0.001093095,PR,6,5489
2021_01,1/3/21,0,0.007662835,PR,36,4698
2021_02,1/10/21,1,0.00976111,PR,38,3893
2021_03,1/17/21,0,0.007042254,PR,25,3550
2021_04,1/24/21,2,0.00330033,PR,11,3333
2021_05,1/31/21,0,0.004104669,PR,8,1949
2021_06,2/7/21,4,0.001532176,PR,3,1958
2021_07,2/14/21,0,0.003942181,PR,6,1522
2021_08,2/21/21,0,0.015715467,PR,19,1209
2021_09,2/28/21,0,0.033515199,PR,43,1283
2021_10,3/7/21,0,0.033898305,PR,50,1475
2021_11,3/14/21,0,0.044397463,PR,63,1419
2021_12,3/21/21,2,0.038277512,PR,64,1672
2021_13,3/28/21,0,0.073705179,PR,259,3514
2021_14,4/4/21,1,0.082045929,PR,393,4790
2021_15,4/11/21,1,0.021721748,PR,163,7504
2021_16,4/18/21,4,0.020864161,PR,141,6758
2021_17,4/25/21,0,0.026948288,PR,111,4119
2021_18,5/2/21,0,0.029335314,PR,79,2693
2021_19,5/9/21,1,0.013728324,PR,19,1384
2021_20,5/16/21,0,0.027978339,PR,31,1108
2021_21,5/23/21,0,0.037990196,PR,31,816
2021_22,5/30/21,0,0.054117647,PR,23,425
2021_23,6/6/21,1,0.125,PR,45,360
2021_24,6/13/21,0,0.140401146,PR,49,349
2021_25,6/20/21,0,0.176954733,PR,43,243
2021_26,6/27/21,0,0.334545455,PR,92,275
2021_27,7/4/21,0,0.106918239,PR,51,477
2021_28,7/11/21,0,0.103125,PR,99,960
2021_29,7/18/21,0,0.112600536,PR,252,2238
2021_30,7/25/21,1,0.100518135,PR,291,2895
2021_31,8/1/21,2,0.039336594,PR,185,4703
2021_32,8/8/21,2,0.086492697,PR,527,6093
2021_33,8/15/21,5,0.034365924,PR,213,6198
2021_34,8/22/21,0,0.049642857,PR,278,5600
2021_35,8/29/21,2,0.075983718,PR,336,4422
2021_36,9/5/21,0,0.109874826,PR,316,2876
2021_37,9/12/21,0,0.057613169,PR,126,2187
2021_38,9/19/21,1,0.060827251,PR,100,1644
2021_39,9/26/21,0,0.079143389,PR,85,1074
2021_40,10/3/21,0,0.054339011,PR,67,1233
2021_41,10/10/21,1,0.027607362,PR,27,978
