EPIWEEK,Week start,Participants with new infection,Proportion_cases_sequenced,Location,Num cases sequenced,Num cases state
2020_23,5/31/20,0,0.045916115,UT,104,2265
2020_24,6/7/20,0,0.002748511,UT,6,2183
2020_25,6/14/20,0,0.091998704,UT,284,3087
2020_26,6/21/20,0,0.029775281,UT,106,3560
2020_27,6/28/20,0,0,UT,0,3914
2020_28,7/5/20,0,0.006492001,UT,28,4313
2020_29,7/12/20,0,0.023899933,UT,107,4477
2020_30,7/19/20,0,0.023537637,UT,101,4291
2020_31,7/26/20,0,0.046443651,UT,143,3079
2020_32,8/2/20,0,0.054116104,UT,165,3049
2020_33,8/9/20,0,0.189883268,UT,488,2570
2020_34,8/16/20,0,0.115523466,UT,288,2493
2020_35,8/23/20,0,0.003858025,UT,10,2592
2020_36,8/30/20,0,0.003140265,UT,9,2866
2020_37,9/6/20,0,0.007731092,UT,23,2975
2020_38,9/13/20,0,0.00249777,UT,14,5605
2020_39,9/20/20,1,0.004929052,UT,33,6695
2020_40,9/27/20,0,0.005690326,UT,38,6678
2020_41,10/4/20,0,0.004869937,UT,41,8419
2020_42,10/11/20,4,0.002773605,UT,24,8653
2020_43,10/18/20,1,0.00610998,UT,60,9820
2020_44,10/25/20,0,0.006239709,UT,72,11539
2020_45,11/1/20,0,0.002310803,UT,36,15579
2020_46,11/8/20,3,0.002152492,UT,45,20906
2020_47,11/15/20,2,0.00249584,UT,57,22838
2020_48,11/22/20,5,0.004417937,UT,80,18108
2020_49,11/29/20,13,0.017488076,UT,363,20757
2020_50,12/6/20,3,0.011803762,UT,224,18977
2020_51,12/13/20,1,0.020642603,UT,354,17149
2020_52,12/20/20,4,0.007876622,UT,119,15108
2020_53,12/27/20,5,0.016442877,UT,289,17576
2021_01,1/3/21,0,0.008926549,UT,197,22069
2021_02,1/10/21,4,0.102272114,UT,1895,18529
2021_03,1/17/21,2,0.14829469,UT,1874,12637
2021_04,1/24/21,0,0.038611137,UT,407,10541
2021_05,1/31/21,1,0.020556227,UT,170,8270
2021_06,2/7/21,2,0.014090645,UT,97,6884
2021_07,2/14/21,2,0.03266055,UT,178,5450
2021_08,2/21/21,2,0.029138514,UT,138,4736
2021_09,2/28/21,3,0.035441658,UT,130,3668
2021_10,3/7/21,3,0.073624824,UT,261,3545
2021_11,3/14/21,1,0.117701009,UT,385,3271
2021_12,3/21/21,0,0.250085646,UT,730,2919
2021_13,3/28/21,1,0.20927762,UT,591,2824
2021_14,4/4/21,0,0.121606949,UT,336,2763
2021_15,4/11/21,0,0.224809021,UT,618,2749
2021_16,4/18/21,0,0.201438849,UT,532,2641
2021_17,4/25/21,0,0.168795974,UT,436,2583
2021_18,5/2/21,0,0.166317553,UT,397,2387
2021_19,5/9/21,0,0.206349206,UT,455,2205
2021_20,5/16/21,0,0.221238938,UT,425,1921
2021_21,5/23/21,1,0.2,UT,321,1605
2021_22,5/30/21,0,0.273596939,UT,429,1568
2021_23,6/6/21,3,0.276092545,UT,537,1945
2021_24,6/13/21,1,0.296444667,UT,592,1997
2021_25,6/20/21,0,0.307758994,UT,710,2307
2021_26,6/27/21,0,0.327190827,UT,799,2442
2021_27,7/4/21,1,0.297976274,UT,854,2866
2021_28,7/11/21,3,0.294537469,UT,1073,3643
2021_29,7/18/21,3,0.280600158,UT,1066,3799
2021_30,7/25/21,4,0.194742933,UT,1178,6049
2021_31,8/1/21,6,0.254657352,UT,1531,6012
2021_32,8/8/21,7,0.291567897,UT,1722,5906
2021_33,8/15/21,4,0.222145805,UT,1615,7270
2021_34,8/22/21,0,0.245377129,UT,2017,8220
2021_35,8/29/21,0,0.191647477,UT,1831,9554
2021_36,9/5/21,0,0.180094787,UT,1900,10550
2021_37,9/12/21,0,0.215791387,UT,2375,11006
2021_38,9/19/21,0,0.188819108,UT,1834,9713
2021_39,9/26/21,0,0.130901062,UT,1245,9511
2021_40,10/3/21,0,0.098186554,UT,980,9981
2021_41,10/10/21,0,0.119013062,UT,1066,8957
